Delegation,Code,Population,Poverty,Ecart Type
Agareb,3457,40943,10.7,0.0109
Ain Draham,2255,35400,27.2,0.014
Akouda,3156,34494,9.3,0.0107
Alaa,4157,28991,38.3,0.0219
Amdoun,2153,21187,37.6,0.0269
Ariana Madina,1251,114486,1.3,0.0021
Ayoun,4258,19211,50.1,0.0306
Bab Bhar,1153,36210,1.6,0.0032
Bab Souika,1154,29185,4.5,0.0078
Balta Bou Aouane,2259,38764,23.1,0.0152
Bardo,1160,71961,1.8,0.0033
Bargou,2460,12482,24.4,0.0226
Beja Nord,2151,71198,23,0.013
Beja Sud,2152,38101,18.5,0.0133
Bekalta,3259,17850,8.3,0.0134
Belkhir,6160,14784,31.2,0.0276
Bembla,3257,32555,6.4,0.0083
Ben Arous,1351,31128,5,0.0076
Ben Guerdane,5254,79912,23.1,0.0142
Beni Hassen,3255,13869,10.6,0.0187
Beni Khalled,1563,37964,6.4,0.0081
Beni Khedache,5253,25885,36.9,0.0276
Beni Khiar,1553,43132,5.8,0.0068
Bir Ali Ben Khalifa,3463,52678,17.4,0.0179
Bir El Hfay,4355,38288,27.4,0.0158
Bir Lahmar,5354,8460,18.4,0.0237
Bir Mchergua,1653,24387,15.8,0.0169
Bizerte Nord,1751,87307,5.3,0.0076
Bizerte Sud,1753,55659,15.9,0.0127
Borj El Amri,1455,17408,12.1,0.0159
Bouarada,2453,20444,21.8,0.0183
Bou Argoub,1565,30942,8.6,0.011
Bouficha,3161,26760,21.9,0.0204
Bouhajla,4161,72371,32.7,0.0124
Boumerdes,3352,33890,30.1,0.0188
Boumhel,1356,40101,4.1,0.0067
Bousalem,2253,35501,16.6,0.0123
Carthage,1151,24216,1.6,0.0052
Chebba,3358,24515,15.5,0.0181
Chebika,4153,35308,24.2,0.0169
Chorbane,3354,25935,36.9,0.0229
Chrarda,4160,27518,28,0.0177
Cite El Khadra,1159,35173,1.4,0.0036
Dahmani,2360,27907,38.4,0.0212
Dar Chaabane El Fehri,1552,46781,4.9,0.0074
Degueche,6252,28543,17.4,0.0147
Dhehiba,5356,4295,33.3,0.0515
Djerba Ajim,5258,24294,16.7,0.0153
Djerba Houmt Souk,5256,75904,9.5,0.0088
Djerba Midoun,5257,63528,11.5,0.0096
Douar Hicher,1452,84090,10.8,0.0087
Douz Nord,6354,28617,20.4,0.0186
Douz Sud,6355,18565,25.9,0.0248
El Alia,1763,27075,15.1,0.0179
El Amra,3459,30599,6.8,0.0113
El Battan,1458,18977,14.5,0.0179
El Ghraiba,3462,15776,14.5,0.0237
El Hamma,5157,73512,20.3,0.0119
El Jem,3357,48611,26.5,0.0189
El Krib,2455,20155,20,0.0157
El Menzah,1158,41830,0.2,0.0012
El Mida,1556,26995,11.7,0.0129
El Mourouj,1353,104538,3.2,0.0034
El Ouardia,1165,32147,3.9,0.0066
El Tahrir,1157,21709,2,0.006
Enfidha,3160,49335,23.8,0.0205
Es Sers,2361,23259,34.4,0.0205
Ettadhamen,1256,84312,12.4,0.0093
Ezzahra,1357,34962,2.6,0.005
Ezzouhour (Kasserine),4253,21819,27.8,0.0225
Ezzouhour (Tunis),1162,40728,4,0.0063
Fahs,1654,46449,12.5,0.0104
Faouar,6356,19613,25.2,0.0243
Feriana,4262,51455,36.9,0.0183
Fernana,2256,47690,36.9,0.0142
Fouchana,1361,74868,7.3,0.0058
Foussana,4261,41447,31.5,0.0195
Gaafour,2454,16934,24.4,0.0209
Gabes Madina,5151,46731,11.1,0.0105
Gabes Ouest,5152,31768,15,0.0135
Gabes Sud,5153,74422,9.4,0.0067
Gafsa Nord,6151,10022,23,0.0324
Gafsa Sud,6154,101148,15.4,0.0085
Ghannouch,5154,28051,20,0.0177
Ghardimaou,2257,64170,24.8,0.0129
Ghar El Melh,1761,19477,14.5,0.0183
Ghazala,1757,26977,34,0.0223
Ghomrassen,5355,15957,10.5,0.0143
Goubellat,2158,15762,36.9,0.029
Grombalia,1564,67475,6.3,0.0074
Guetar,6159,20137,19.8,0.0177
Haffouz,4156,40066,31.4,0.0176
Hajeb El Ayoun,4158,36137,36.6,0.0177
Hammam Chatt,1355,31858,5,0.0078
Hammam El Ghezaz,1558,15727,16,0.0195
Hammamet,1566,97855,5.9,0.0055
Hammam Lif,1354,42518,6.4,0.0067
Hammam Sousse,3155,42691,8.5,0.01
Haouaria,1559,41317,11,0.0115
Hassi El Ferid,4254,19400,53.5,0.0317
Hazoua,6255,4700,22.6,0.0431
Hbira,3355,10654,33.4,0.0313
Hencha,3460,49223,11.8,0.0112
Hergla,3159,9343,16.3,0.0279
Hidra,4260,9762,39.8,0.0298
Hrairia,1163,110184,6.1,0.0059
Jammel,3256,65420,7.4,0.0084
Jarzouna,1752,24793,10.9,0.0155
Jebel Jelloud,1168,23638,9.5,0.0117
Jebeniana,3458,49678,8.7,0.0095
Jedaida,1456,44748,11.9,0.0114
Jedeliane,4257,12297,53.1,0.0339
Jelma,4353,40239,31.4,0.0192
Jendouba Nord,2252,40779,19.6,0.0137
Jendouba Sud,2251,72337,10.7,0.0074
Jerissa,2358,9807,31.9,0.0253
Joumine,1755,29029,36.6,0.0219
Kabaria,1166,86024,5.3,0.0052
Kairouan Nord,4151,96781,20.8,0.0131
Kairouan Sud,4152,93101,23,0.0123
Kalaa Kebira,3157,59132,16.2,0.0136
Kalaa Khesba,2357,6652,35.3,0.0382
Kalaa Sghira,3165,37797,15.1,0.0138
Kalaat El Andalous,1254,26796,12.5,0.014
Kalaat Senan,2356,15621,32.8,0.0242
Kasserine Nord,4251,65322,18.9,0.0099
Kasserine Sud,4252,21653,34,0.0233
Kebili Nord,6352,31854,12.3,0.012
Kebili Sud,6351,30447,15.8,0.0149
Kef Est,2352,40288,24.6,0.0145
Kef Ouest,2351,33418,21.9,0.017
Kelibia,1557,58491,10.9,0.0084
Kerkenah,3466,15501,4.6,0.0126
Kesra,2459,16404,32.2,0.0255
Kondar,3162,13565,28.7,0.0334
Korba,1554,68964,7.7,0.007
Ksar,6153,36482,16.9,0.0129
Ksar Hellal,3261,49376,6.8,0.008
Ksibet El Mediouni,3262,34576,5.8,0.0081
Ksour,2359,15215,37.1,0.0262
Ksour Essef,3361,54366,22.2,0.0176
La Goulette,1169,45711,1.1,0.003
La Marsa,1171,92987,2.2,0.0032
Laroussa,2461,9907,25.2,0.0267
Le Kram,1170,74132,3,0.0045
Madina,1152,21400,6.6,0.0113
Mahdia,3351,79545,13.3,0.0112
